""	0	1	2
B1	0.7362480633762022	1.1899934734649409	4.770879113516626
B2	0.7821139415245298	1.3105491126826092	1.9603250198057518
B3	0.622085177713812	1.3018803561296688	5.015803771343835
B4	0.5816911363600554	1.03221304651431	4.2944822595738845
B5	0.8496686520722995	1.3224772542403733	4.607854394553303
B6	0.8064675745030083	0.9852229295232473	4.054396506958081
B7	0.668785065168747	0.7299813470551562	4.281914051521332
B8	0.5186131839391926	0.32377693392115126	4.450844826452913
B9	0.3971219965913716	0.07649554714220738	3.1847048914387686
B10	0.28964628681311805	0.09019390114675091	2.805262303295463
B11	0.780775662602621	0.7369950965785239	4.872251892745624
B12	0.8688694235901318	0.31130033200315266	4.970037569035893
B13	0.8784653618361052	0.045227663894487444	3.4834694553188186
B14	0.7709938215420212	0.0217909033654422	3.2031037344335767
